Location,Location,Up,Down
Townsville Jetty,Stuart,28,24
Stuart,Antill Plains,18,15
Antill Plains,Woodstock,22,18
Woodstock,Reid River,21,22
Reid River,Woldston,14,13
Woldston,Mingela,41,29
Mingela,Sellheim,34,37
Sellheim,Ch. Towers,30,27
Ch. Towers,Southern Cross,25,25
Southern Cross,Balfes Ck,26,28
Balfes Ck,Mungunburra,21,21
Mungunburra,Thalanga,9,7
Thalanga,Homestead,16,13
Homestead,Pentland,42,40
Pentland,Warrigal,24,28
Warrigal,Burra,25,18
Burra,Torrens Ck,21,25
Torrens Ck,Warreah,25,23
Warreah,Prairie,25,23
Prairie,Tindo,25,27
Tindo,Hughenden,43,39
Hughenden,Boree,33,37
Boree,Mumu,33,35
Mumu,Marathon,36,30
Marathon,Barabon,21,19
Barabon,Moselle,18,17
Moselle,Richmond,29,47
Richmond,Gemoka,35,36
Gemoka,Maxwelton,34,33
Maxwelton,Nonda,28,26
Nonda,Nelia,40,46
Nelia,Quarrells,32,29
Quarrells,Julia Ck,34,31
Julia Ck,Gilliat,39,39
Gilliat,Tibarri,28,26
Tibarri,Oorindi,31,30
Oorindi,Undina,22,19
Undina,Pymurra,23,21
Pymurra,Cannington Jcn,14,13
Cannington Jcn,Oonoomurra,7,6
Oonoomurra,Cloncurry,25,21
Cloncurry,Marimo,24,26
Marimo,Malbon,45,44
Malbon,Wammutta,27,29
Wammutta,Bungalien,31,31
Bungalien,Flynn,11,10
Flynn,Duchess,16,12
Duchess,Woonigan,36,34
Woonigan,Rifle Ck,42,41
Rifle Ck,Mt Isa,44,38
